id,id_str,name,screen_name,location,description,url,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,media_count,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,has_custom_timelines,translator_type,require_some_consent
200978419,200978419,Matt,Prof_Lewis,"Austin, TX","Full stack engineer @RigUp. Formerly a math prof. Food, movies, travel, and trouble. Annoyingly excited about everything.",,False,149,0,149,722,3,Sun Oct 10 19:42:15 +0000 2010,2484,True,False,1145,26,False,False,False,091304,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,True,http://pbs.twimg.com/profile_images/886996171654217728/fGekrXJP_normal.jpg,https://pbs.twimg.com/profile_images/886996171654217728/fGekrXJP_normal.jpg,https://pbs.twimg.com/profile_banners/200978419/1505134355,50A4B1,4D4A33,262626,B4B4B4,True,True,False,False,False,,False
2768673151,2768673151,Murray Jorgensen,majmurr,Auckland,"Statistics, Mathematics, Music, Life, the Multiverse and everything (PhD mathematician and statistician with academic & govt experience. R user. Semi-retired.)",,False,292,0,292,1074,15,Tue Aug 26 00:56:16 +0000 2014,625,True,False,1870,23,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/504078838641348608/PpGmquv9_normal.jpeg,https://pbs.twimg.com/profile_images/504078838641348608/PpGmquv9_normal.jpeg,https://pbs.twimg.com/profile_banners/2768673151/1465382539,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,True,,False
242455945,242455945,Akiva Weinberger,akivaw,"New York, NY","Into math. Into music. Brother of @avishaiw. Finding new and innovative ways to mess up.
(he/him/his)",,False,246,0,246,122,3,Mon Jan 24 20:44:29 +0000 2011,930,False,False,4722,441,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1015311031399116800/rxBzib9F_normal.jpg,https://pbs.twimg.com/profile_images/1015311031399116800/rxBzib9F_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False
902739059252002816,902739059252002816,赵亮,neozhaoliang,"天津, 中华人民共和国",,https://t.co/Kgn20dNEEO,False,455,0,455,105,9,Wed Aug 30 03:45:38 +0000 2017,950,False,False,423,143,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1131457579798765568/tesxmTMD_normal.png,https://pbs.twimg.com/profile_images/1131457579798765568/tesxmTMD_normal.png,https://pbs.twimg.com/profile_banners/902739059252002816/1572711497,1B95E0,000000,000000,000000,False,False,False,False,False,,False
16748247,16748247,1/(1 - 1/(1 - 1/(1 - Dan Piponi))),sigfpe,"Oakland, CA, USA",My opinions are not my own. They're beamed to me by aliens.,https://t.co/RN5W15PLLW,False,7430,0,7430,486,287,Wed Oct 15 00:07:29 +0000 2008,14694,True,False,20993,934,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/964584182532878337/3OkjdHwm_normal.jpg,https://pbs.twimg.com/profile_images/964584182532878337/3OkjdHwm_normal.jpg,https://pbs.twimg.com/profile_banners/16748247/1561318335,ABB8C2,C0DEED,DDEEF6,333333,True,False,False,False,True,,False
15626406,15626406,michael_nielsen,michael_nielsen,"San Francisco, CA",Searching for the numinous. Co-purveyor of https://t.co/h44N9oglSd,http://t.co/4afcKsxMtP,False,50470,0,50470,3425,1643,Mon Jul 28 01:47:10 +0000 2008,45227,False,False,21393,1600,False,False,False,000000,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/2756243281/6d3d0ade1bd4364b75d7d0151dce38e5_normal.png,https://pbs.twimg.com/profile_images/2756243281/6d3d0ade1bd4364b75d7d0151dce38e5_normal.png,,1B95E0,000000,000000,000000,False,False,False,False,False,,False
815033787645972480,815033787645972480,Greg Egan,gregeganSF,,"I am a science fiction writer and computer programmer.
Web site: https://t.co/VBrsKRCUqb [mirrored at https://t.co/aSZF54Y35q… ]",https://t.co/VBrsKRCUqb,False,9059,0,9059,151,182,Sat Dec 31 03:16:12 +0000 2016,7098,False,False,3787,559,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/815035510808670208/qmaBXH6-_normal.jpg,https://pbs.twimg.com/profile_images/815035510808670208/qmaBXH6-_normal.jpg,https://pbs.twimg.com/profile_banners/815033787645972480/1513830429,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False
4831052427,4831052427,William John Gowers,_johngowers,,Maths. Arsenal. Rebecca Long-Bailey.,,False,61,0,61,161,0,Wed Jan 20 23:30:38 +0000 2016,5519,False,False,1246,47,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,True,,False
1083465257077608451,1083465257077608451,Timothy Gowers,wtgowers,"Cambridge, England",Mathematician. Royal Society Research Professor at University of Cambridge.,,False,10974,0,10974,78,124,Thu Jan 10 20:47:01 +0000 2019,5661,False,False,2378,45,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1083475911389954049/KzLcdZnE_normal.jpg,https://pbs.twimg.com/profile_images/1083475911389954049/KzLcdZnE_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,True,,False
40487404,40487404,Lev Reyzin,lreyzin,"UIC / Chicago, IL",Math professor. Computer science researcher. Lover of freedom and anxious for the fray.,https://t.co/tNtgAhWycl,False,1482,0,1482,97,68,Sat May 16 15:59:13 +0000 2009,4735,False,False,7447,113,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/748236403016929280/bctYS3C9_normal.jpg,https://pbs.twimg.com/profile_images/748236403016929280/bctYS3C9_normal.jpg,https://pbs.twimg.com/profile_banners/40487404/1518473996,103CAD,DFDFDF,F3F3F3,333333,True,False,False,False,True,,False
