,id,id_str,name,screen_name,location,description,url,protected,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,media_count,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,has_custom_timelines,translator_type,require_some_consent,profile_banner_url
794,884253117251858432,884253117251858432,John Ormerod,john_t_ormerod,"Sydney, New South Wales","The Bayesian half of The Bayesian and the Frequentist. 
Statistician and LGBTIA+ support officer at Sydney University.
#rstats ASD Dad. Enneagram 2. He/Him.",https://t.co/R2Iu78Qqam,False,1170,0,1170,1464,9,Mon Jul 10 03:29:06 +0000 2017,21458,False,False,2774,226,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/884348470303145984/4DdQ-7kS_normal.jpg,https://pbs.twimg.com/profile_images/884348470303145984/4DdQ-7kS_normal.jpg,981CEB,000000,000000,000000,False,False,False,False,True,,False,https://pbs.twimg.com/profile_banners/884253117251858432/1523278548
795,209149187,209149187,MIGUEL LUQUE,WATZILEI,,,https://t.co/an7rEhVdXj,False,181,0,181,200,20,Thu Oct 28 16:18:26 +0000 2010,1804,True,False,809,15,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1009781299064819712/OfODPPz__normal.jpg,https://pbs.twimg.com/profile_images/1009781299064819712/OfODPPz__normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/209149187/1514387966
796,801179084105678850,801179084105678850,EcoHMM,EcoHMM,,"Pooling the expertise of a few individuals experienced in the application of hidden Markov models, HMMs, and other state-switching models to ecological data.",https://t.co/g9XQnVxi5V,False,448,0,448,321,2,Tue Nov 22 21:42:33 +0000 2016,20,False,False,93,3,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/801183495989194752/q4k6kb-b_normal.jpg,https://pbs.twimg.com/profile_images/801183495989194752/q4k6kb-b_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/801179084105678850/1479852452
797,2554678824,2554678824,Aaron Galluzzi,ajgall75,"Toronto, Ontario","Statistician, denizen of the Internet",,True,4,0,4,34,0,Sun Jun 08 13:12:13 +0000 2014,43,False,False,10,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/984440305704321024/nX8E56NA_normal.jpg,https://pbs.twimg.com/profile_images/984440305704321024/nX8E56NA_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,
798,113391981,113391981,cywhale,bramasolo,Taiwan,Rstats and ecol-ist. BioQuery for marine zooplankton and larval fish assemblages and ecological distribution. #Rshiny https://t.co/Tec1pr7lR8,https://t.co/o8qOSfkwiq,False,177,0,177,364,60,Thu Feb 11 16:18:59 +0000 2010,6930,False,False,4557,146,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/671906683891810304/9aPCDSao_normal.jpg,https://pbs.twimg.com/profile_images/671906683891810304/9aPCDSao_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,,False,https://pbs.twimg.com/profile_banners/113391981/1447126083
799,3368610088,3368610088,Powen Lai,Barrypapa23,"Chicago, IL","Transforming from SAS to R, loving to explore the beauty of the data.",,False,11,0,11,165,2,Fri Jul 10 02:02:32 +0000 2015,59,False,False,28,1,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1016288600344879104/l2oIw5YX_normal.jpg,https://pbs.twimg.com/profile_images/1016288600344879104/l2oIw5YX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,True,,False,
800,317965625,317965625,Nic Crane,nic_crane,"Lancaster, England","Senior consultant at Unai, BristolR co-organiser, massive nerd, & frequent adventurer.

#DataScience #rstats #pydata",https://t.co/KXxqTnlULX,False,1942,0,1942,740,84,Wed Jun 15 19:10:57 +0000 2011,3765,True,False,1470,216,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1217750329581801472/3yp1mn7u_normal.jpg,https://pbs.twimg.com/profile_images/1217750329581801472/3yp1mn7u_normal.jpg,8B0000,000000,000000,000000,False,False,False,False,True,,False,https://pbs.twimg.com/profile_banners/317965625/1547941664
801,1382099868,1382099868,Brandon LeBeau,blebeau11,"Iowa City, Iowa","Assistant Professor in the Educational Measurement and Statistics program at the University of Iowa, #rstats enjoyer, data geek.",https://t.co/5ex2YxGV76,False,151,0,151,234,19,Fri Apr 26 14:57:11 +0000 2013,181,False,False,467,34,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/3603661705/876cd091793d8b20c9a78f9e6a3920b6_normal.jpeg,https://pbs.twimg.com/profile_images/3603661705/876cd091793d8b20c9a78f9e6a3920b6_normal.jpeg,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,,False,
802,1450789794,1450789794,agstudy-Amine GASSEM,ag_study,Paris,R developer,http://t.co/bkDf4DCTue,False,31,0,31,109,6,Thu May 23 07:42:11 +0000 2013,8,False,False,48,4,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,4A913C,000000,000000,000000,False,False,False,True,False,,False,
803,482360453,482360453,Martin Ingram,xenophar,"Melbourne, Australia","PhD student at University of Melbourne. Studying statistics; background in physics & computer science. Passionate about stats, tennis, and machine learning.",,False,434,0,434,522,16,Fri Feb 03 20:31:05 +0000 2012,3145,False,False,424,51,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/899168518230253568/PsKwpQuu_normal.jpg,https://pbs.twimg.com/profile_images/899168518230253568/PsKwpQuu_normal.jpg,990000,DFDFDF,F3F3F3,333333,True,False,False,False,False,,False,https://pbs.twimg.com/profile_banners/482360453/1356803351
